lon (deg E), lat (deg N)
-119.293, 42.921
-117.501, 43.251
-115.692, 43.556
-113.867, 43.833
-112.027, 44.084
-110.174, 44.308
-108.309, 44.504
-106.433, 44.672
-104.549, 44.813
-102.657, 44.926
-100.759, 45.011
-98.857, 45.067
-96.953, 45.096
-95.047, 45.096
-93.143, 45.067
-91.241, 45.011
-89.343, 44.926
-87.451, 44.813
-85.567, 44.672
-83.691, 44.504
-74.499, 43.251
-72.707, 42.921
-70.933, 42.565
-123.361, 43.478
-121.576, 43.866
-119.770, 44.229
-117.944, 44.565
-116.100, 44.875
-114.240, 45.158
-112.363, 45.413
-110.473, 45.641
-108.569, 45.840
-106.655, 46.012
-104.731, 46.155
-102.799, 46.270
-100.861, 46.357
-98.918, 46.414
-96.973, 46.443
-95.027, 46.443
-93.082, 46.414
-91.139, 46.357
-89.201, 46.270
-87.269, 46.155
-74.056, 44.565
-72.230, 44.229
-70.424, 43.866
-123.923, 44.768
-122.105, 45.163
-120.266, 45.532
-118.405, 45.875
-116.526, 46.190
-114.628, 46.477
-112.713, 46.737
-110.784, 46.969
-108.841, 47.172
-106.886, 47.347
-104.921, 47.493
-102.947, 47.610
-100.967, 47.698
-98.982, 47.756
-96.994, 47.786
-95.006, 47.786
-93.018, 47.756
-91.033, 47.698
-69.895, 45.163
-68.077, 44.768
-122.657, 46.454
-120.782, 46.830
-118.886, 47.178
-116.969, 47.499
-115.033, 47.791
-113.079, 48.056
-111.109, 48.292
-109.124, 48.499
-107.127, 48.676
-105.119, 48.825
-103.102, 48.944
-69.343, 46.454
-123.232, 47.738
-121.321, 48.120
-119.387, 48.475
-117.431, 48.801
