ob ID | var | first ten unique values
00194 | QOB | 2220.000 2436.000 2474.000 2512.000 2532.000 2550.000 2649.000 2710.000 2752.000 2834.000
00194 | POB | 990.600 990.700 990.800 991.100 991.500 991.700 992.200 992.400 1003.100 1003.200
00194 | ZOB | 0.000 1.000 2.000 3.000 5.000 7.000 8.000 9.000 10.000 11.000
00194 | ELV | 0.000 1.000 2.000 3.000 5.000 7.000 8.000 9.000 10.000 11.000

00195 | TOB | -72.800 -65.100 -52.900 -52.400 -45.600 -45.000 -44.400 -43.900 -42.200 -41.700
00195 | QOB | 3.000 4.000 10.000 11.000 36.000 37.000 38.000 39.000 58.000 62.000
00195 | POB | 475.300 475.700 477.100 537.800 538.000 538.100 538.900 549.100 549.300 549.500
00195 | ZOB | -59.000 -58.000 -57.000 -56.000 -53.000 -29.000 -23.000 -20.000 -15.000 -11.000
00195 | ELV | -59.000 -58.000 -57.000 -56.000 -53.000 -29.000 -23.000 -20.000 -15.000 -11.000


00220 | POB | 4.400 4.700 5.100 5.300 5.500 5.600 5.700 5.800 5.900 6.000
00220 | ZOB | 192.000 300.000 305.000 600.000 610.000 751.000 900.000 914.000 1200.000 1219.000
00220 | ELV | 3.000 4.000 5.000 6.000 7.000 8.000 9.000 10.000 11.000 12.000
00220 | UOB | -31.800 -31.500 -30.400 -29.800 -29.500 -29.000 -28.000 -26.100 -25.600 -24.700
00220 | VOB | -47.600 -45.500 -42.200 -41.600 -40.100 -39.700 -39.200 -38.400 -37.900 -37.700
00220 | WSPD | 0.000 0.825 0.869 0.972 0.991 1.047 1.844 1.914 1.924 1.944
00220 | WDIR | 0.000 3.814 4.289 4.399 4.485 4.574 4.611 4.667 4.764 4.844




00224 | POB | 318.400 320.800 323.200 325.500 327.900 330.400 332.800 335.200 337.700 340.200
00224 | ZOB | 62.000 72.000 74.000 79.000 81.000 85.000 87.000 89.000 90.000 94.000
00224 | ELV | 12.000 22.000 24.000 27.000 29.000 31.000 35.000 37.000 39.000 40.000
00224 | UOB | -19.700 -19.500 -19.300 -19.200 -19.100 -19.000 -18.900 -18.800 -18.700 -18.600
00224 | VOB | -34.600 -31.300 -29.600 -27.200 -23.100 -22.000 -21.800 -21.500 -21.200 -21.100
00224 | WSPD | 0.000 0.194 0.435 0.550 0.615 0.701 0.801 0.825 0.972 1.047
00224 | WDIR | 0.000 0.329 0.335 0.337 0.345 0.358 0.360 0.363 0.379 0.382

00227 | POB | 343.000 353.300 363.800 371.800 374.500 374.700 385.500 393.900 395.900 396.400
00227 | ZOB | 121.000 148.000 150.000 157.000 164.000 179.000 194.000 197.000 198.000 200.000
00227 | ELV | 0.000 3.000 4.000 5.000 12.000 53.000 56.000 279.000 763.000 1291.000
00227 | UOB | -6.000 -5.900 -5.800 -5.700 -5.600 -5.500 -5.400 -5.200 -5.100 -4.900
00227 | VOB | -16.800 -16.700 -15.800 -14.900 -14.700 -14.600 -14.500 -14.400 -14.300 -14.200
00227 | WSPD | 0.000 0.194 0.275 0.389 0.435 0.550 0.583 0.615 0.701 0.778
00227 | WDIR | 0.000 0.955 0.988 1.081 1.219 1.848 1.909 1.975 2.121 2.203



00230 | POB | 147.500 162.400 178.700 187.500 188.400 196.800 206.500 207.400 209.400 216.600
00230 | ZOB | 0.000 853.000 3383.000 3658.000 4267.000 5212.000 5456.000 5791.000 6462.000 7071.000
00230 | ELV | 0.000 853.000 3383.000 3658.000 4267.000 5212.000 5456.000 5791.000 6462.000 7071.000
00230 | UOB | -12.500 -9.900 -9.700 -9.300 -7.100 -7.000 -6.800 -6.500 -6.100 -4.900
00230 | VOB | -30.400 -27.300 -24.500 -23.800 -23.700 -21.300 -21.100 -19.600 -18.400 -17.200
00230 | WSPD | 1.844 2.890 4.007 4.082 4.087 4.087 4.982 5.088 6.004 6.029
00230 | WDIR | 2.726 2.770 9.936 14.036 34.380 42.274 52.125 55.923 75.141 88.152

00231 | POB | 177.500 178.500 178.600 178.700 178.800 178.900 179.500 180.700 186.700 187.300
00231 | ZOB | -130.000 -80.000 -70.000 -60.000 -50.000 -30.000 -20.000 -6.000 0.000 5.000
00231 | ELV | -130.000 -80.000 -70.000 -60.000 -50.000 -30.000 -20.000 -6.000 0.000 5.000
00231 | UOB | -31.200 -28.300 -22.500 -22.400 -13.100 -13.000 -12.600 -12.500 -12.300 -12.000
00231 | VOB | -47.500 -44.300 -43.900 -42.600 -42.400 -42.300 -41.600 -41.200 -40.500 -39.100
00231 | WSPD | 0.000 0.972 0.991 1.047 1.914 1.924 1.944 1.954 2.001 2.029
00231 | WDIR | 0.000 0.699 0.971 1.081 1.397 2.095 2.121 2.224 2.231 2.603


00233 | POB | 178.500 178.600 178.700 178.800 186.800 187.300 187.400 187.500 187.600 187.700
00233 | ZOB | -55.000 -52.000 -51.000 -49.000 -46.000 -43.000 -42.000 -41.000 -40.000 -37.000
00233 | ELV | -55.000 -52.000 -51.000 -49.000 -46.000 -43.000 -42.000 -41.000 -40.000 -37.000
00233 | UOB | -50.100 -26.800 -25.900 -25.800 -24.800 -24.700 -24.400 -24.200 -24.100 -23.100
00233 | VOB | -50.900 -49.500 -47.500 -47.400 -47.300 -47.200 -47.000 -46.100 -45.800 -45.700
00233 | WSPD | 0.000 0.825 0.869 0.972 0.991 1.047 1.834 1.844 1.914 1.924
00233 | WDIR | 0.000 0.659 0.699 0.855 0.881 0.924 1.005 1.112 1.116 1.245

00234 | POB | 196.200 196.700 202.000 202.100 205.400 205.600 205.700 205.800 206.300 211.400
00234 | ZOB | 24.000 36.000 64.000 67.000 70.000 109.000 112.000 195.000 280.000 365.000
00234 | ELV | 24.000 36.000 64.000 67.000 70.000 109.000 112.000 195.000 280.000 365.000
00234 | UOB | -24.200 -18.500 -18.400 -18.300 -17.400 -17.000 -16.900 -16.600 -16.400 -16.000
00234 | VOB | -104.300 -22.400 -21.100 -17.900 -17.700 -16.400 -12.800 -12.200 -11.600 -10.800
00234 | WSPD | 0.000 0.869 0.972 0.991 1.047 1.914 1.924 1.954 1.982 2.001
00234 | WDIR | 0.000 3.366 3.814 6.843 11.310 11.689 15.945 16.260 19.654 24.013

00235 | POB | 275.000 275.500 314.300 314.800 325.200 331.000 333.400 338.300 343.800 361.700
00235 | ZOB | -30.000 -20.000 0.000 20.000 40.000 60.000 100.000 110.000 130.000 150.000
00235 | ELV | -30.000 -20.000 0.000 20.000 40.000 60.000 100.000 110.000 130.000 150.000
00235 | UOB | -7.400 -6.400 -5.600 -5.400 -5.300 -5.100 -5.000 -4.900 -4.700 -4.600
00235 | VOB | -35.800 -34.400 -31.000 -30.800 -29.900 -29.100 -28.700 -28.600 -28.300 -28.200
00235 | WSPD | 1.954 2.890 2.916 2.974 4.119 4.155 5.016 5.113 5.934 6.029
00235 | WDIR | 0.744 0.924 0.932 1.005 1.014 1.061 1.123 1.397 2.137 2.224



00242 | POB | 800.500 801.200 802.200 803.500 804.400 804.600 805.200 805.400 806.800 807.500
00242 | ZOB | 140.000 150.000 153.000 155.000 158.000 159.000 162.000 166.000 168.000 170.000
00242 | ELV | 140.000 150.000 153.000 155.000 158.000 159.000 162.000 166.000 168.000 170.000
00242 | UOB | -11.700 -11.400 -11.200 -11.100 -11.000 -10.900 -10.800 -10.700 -10.600 -10.500
00242 | VOB | -16.500 -15.000 -14.700 -14.600 -14.500 -14.400 -14.300 -14.000 -13.900 -13.700
00242 | WSPD | 4.982 5.187 5.281 5.566 5.677 5.770 5.848 6.035 6.175 6.178
00242 | WDIR | 0.836 1.146 1.762 1.863 2.141 2.175 2.203 2.545 2.770 2.793

00243 | POB | 801.500 801.700 803.200 803.600 804.000 804.500 804.800 805.900 807.100 807.500
00243 | ZOB | 394.000 450.000 470.000 507.000 533.000 538.000 539.000 553.000 557.000 565.000
00243 | ELV | 394.000 450.000 470.000 507.000 533.000 538.000 539.000 553.000 557.000 565.000
00243 | UOB | -15.400 -15.000 -14.300 -13.300 -12.900 -11.900 -10.300 -10.200 -9.800 -9.600
00243 | VOB | -29.500 -26.700 -25.900 -25.800 -24.900 -22.600 -19.900 -19.600 -17.200 -14.800
00243 | WSPD | 2.029 2.216 2.267 2.341 2.700 2.707 2.916 3.018 3.073 3.116
00243 | WDIR | 0.877 1.941 2.545 3.906 4.883 8.259 11.310 14.931 24.775 24.944







00250 | POB | 125.200 126.200 126.300 126.800 126.900 127.700 127.800 128.300 128.400 129.000
00250 | ZOB | 4222.000 4309.000 4358.000 4428.000 4438.000 4447.000 4454.000 4496.000 4587.000 4608.000
00250 | ELV | 4222.000 4309.000 4358.000 4428.000 4438.000 4447.000 4454.000 4496.000 4587.000 4608.000
00250 | UOB | -25.300 -25.100 -24.800 -24.200 -24.000 -23.900 -23.800 -23.600 -23.200 -23.000
00250 | VOB | -38.300 -37.600 -37.500 -37.000 -36.700 -36.600 -36.000 -35.800 -35.700 -35.500
00250 | WSPD | 5.883 5.912 6.035 6.462 6.870 7.009 7.427 8.118 8.555 8.704
00250 | WDIR | 1.273 3.879 4.879 5.807 9.142 9.211 9.605 9.620 10.305 11.889


00252 | POB | 125.100 126.200 126.900 127.100 127.700 127.800 128.000 128.400 129.400 129.700
00252 | ZOB | 1972.000 1974.000 1979.000 1981.000 1994.000 2006.000 2008.000 2016.000 2030.000 2045.000
00252 | ELV | 1972.000 1974.000 1979.000 1981.000 1994.000 2006.000 2008.000 2016.000 2030.000 2045.000
00252 | UOB | -25.100 -23.900 -23.700 -22.900 -22.700 -21.900 -21.600 -21.500 -20.900 -20.700
00252 | VOB | -22.400 -21.900 -17.700 -17.300 -17.200 -17.100 -17.000 -16.900 -16.600 -16.300
00252 | WSPD | 5.165 5.610 6.689 7.022 7.094 7.216 7.702 8.120 8.311 8.361
00252 | WDIR | 2.246 2.386 3.180 7.595 8.813 9.689 10.033 12.065 13.799 14.036

00253 | POB | 124.500 125.000 130.200 131.800 136.200 137.700 138.700 139.200 139.800 143.800
00253 | ZOB | 1957.000 1958.000 1962.000 1964.000 1967.000 1970.000 1985.000 1993.000 2009.000 2011.000
00253 | ELV | 1957.000 1958.000 1962.000 1964.000 1967.000 1970.000 1985.000 1993.000 2009.000 2011.000
00253 | UOB | -22.500 -22.400 -22.000 -21.600 -21.500 -20.800 -20.500 -19.900 -19.700 -18.700
00253 | VOB | -37.600 -33.500 -32.900 -32.800 -32.700 -32.400 -32.200 -29.800 -29.600 -29.300
00253 | WSPD | 2.557 2.870 2.967 3.073 3.206 3.322 3.477 3.504 3.568 3.698
00253 | WDIR | 0.807 0.847 0.855 1.014 1.042 1.071 1.116 1.992 2.064 3.102

00254 | POB | 124.200 124.300 124.400 124.500 124.600 126.600 129.000 129.600 131.200 133.500
00254 | ZOB | 3367.000 3451.000 3454.000 3487.000 3513.000 3529.000 3548.000 3570.000 3576.000 3594.000
00254 | ELV | 3367.000 3451.000 3454.000 3487.000 3513.000 3529.000 3548.000 3570.000 3576.000 3594.000
00254 | UOB | -26.800 -26.300 -25.700 -25.400 -25.100 -24.300 -24.200 -23.900 -23.600 -23.400
00254 | VOB | -47.400 -46.600 -46.300 -45.300 -45.100 -44.200 -43.600 -43.400 -43.100 -42.800
00254 | WSPD | 1.982 2.527 2.557 2.608 3.310 3.477 3.504 3.568 3.652 3.688
00254 | WDIR | 0.659 0.891 0.924 0.955 0.958 0.963 1.029 1.078 1.096 1.109









00280 | POB | 983.700 983.900 984.000 984.100 984.300 984.600 984.700 984.800 986.400 986.500
00280 | ELV | 0.000 1.000 2.000 3.000 4.000 5.000 6.000 7.000 9.000 50.000
00280 | UOB | -16.900 -16.500 -16.000 -15.600 -15.500 -15.300 -15.200 -14.900 -11.800 -11.300
00280 | VOB | -104.500 -41.100 -19.200 -13.100 -12.800 -12.000 -11.600 -11.300 -11.000 -10.800
00280 | WSPD | 0.000 0.194 0.389 0.583 0.778 0.869 0.972 0.991 1.047 1.100
00280 | WDIR | 0.000 0.868 0.988 1.302 1.591 1.975 2.045 2.175 2.203 2.291

00281 | POB | 659.200 667.000 672.000 682.800 697.900 698.900 700.400 712.500 712.700 718.800
00281 | ELV | -5.000 -4.000 -1.000 0.000 1.000 2.000 3.000 4.000 5.000 6.000
00281 | UOB | -16.000 -13.800 -12.300 -12.200 -12.100 -10.600 -10.400 -10.200 -9.500 -9.400
00281 | VOB | -14.100 -13.800 -12.800 -12.600 -12.500 -12.200 -11.600 -11.400 -11.200 -11.100
00281 | WSPD | 0.000 0.194 0.389 0.435 0.550 0.583 0.615 0.701 0.778 0.801
00281 | WDIR | 0.000 0.955 1.591 1.685 1.909 2.490 2.862 3.366 3.814 4.086

00282 | UOB | -9.400 -9.100 -9.000 -8.600 -8.500 -8.200 -7.800 -7.700 -7.500 -7.200
00282 | VOB | -5.400 -4.000 -1.900 -1.600 -1.500 -1.400 -1.200 -1.100 -1.000 -0.900
00282 | WSPD | 2.803 3.258 3.616 3.714 3.834 3.912 3.988 4.045 4.281 4.368
00282 | WDIR | 59.534 60.018 63.435 64.231 76.908 88.025 89.334 90.000 100.176 104.349


00284 | POB | 280.300 840.800 844.600 858.500 859.300 859.700 861.400 863.600 870.300 871.400
00284 | ELV | 8.000 9.000 10.000 11.000 12.000 13.000 14.000 15.000 16.000 17.000
00284 | UOB | -13.400 -10.300 -9.800 -8.700 -7.200 -7.100 -6.400 -6.300 -6.200 -6.100
00284 | VOB | -12.700 -12.600 -11.200 -10.600 -9.700 -8.300 -8.200 -7.600 -7.100 -6.700
00284 | WSPD | 0.000 0.972 0.991 1.047 1.844 1.944 1.982 2.001 2.890 2.916
00284 | WDIR | 0.000 6.116 8.746 9.462 9.728 9.926 10.081 10.125 10.162 10.204



00287 | POB | 260.900 261.000 631.900 644.200 644.700 644.900 663.900 664.300 667.000 685.100
00287 | ELV | 0.000 1.000 2.000 3.000 4.000 5.000 6.000 7.000 8.000 9.000
00287 | UOB | -16.900 -16.000 -15.500 -14.500 -14.200 -13.900 -13.400 -13.200 -13.100 -12.700
00287 | VOB | -19.600 -19.300 -18.700 -18.000 -17.700 -17.500 -17.000 -16.900 -16.700 -16.400
00287 | WSPD | 0.000 0.972 0.991 1.047 1.844 1.944 1.982 2.001 2.890 2.916
00287 | WDIR | 0.000 8.746 9.462 9.728 9.782 9.828 9.866 9.926 10.081 10.105

00288 | POB | 367.200 367.300 367.400 397.700 397.800 398.000 398.100 419.200 419.300 419.400
00288 | ELV | -99.000 -71.000 -27.000 -6.000 -5.000 -4.000 -3.000 -2.000 -1.000 0.000
00288 | UOB | -19.900 -18.000 -17.900 -17.000 -16.700 -16.600 -16.500 -16.400 -16.100 -15.600
00288 | VOB | -24.100 -23.600 -23.200 -22.800 -20.600 -19.900 -18.700 -18.200 -17.700 -17.600
00288 | WSPD | 0.000 0.194 0.275 0.389 0.435 0.550 0.583 0.615 0.701 0.778
00288 | WDIR | 0.000 0.659 0.674 0.754 0.774 0.807 0.855 0.895 0.909 0.924


00290 | UOB | -16.800 -16.500 -16.400 -16.200 -16.100 -16.000 -15.800 -15.700 -15.600 -15.500
00290 | VOB | -15.000 -14.900 -14.800 -14.700 -14.600 -14.500 -14.400 -14.300 -14.200 -14.100
00290 | WSPD | 0.275 0.389 0.435 0.583 0.615 0.701 0.778 0.801 0.825 0.869
00290 | WDIR | 0.881 0.902 0.939 0.955 0.996 1.157 1.181 1.193 1.206 1.232


00292 | POB | 264.400 719.700 739.200 745.200 750.200 793.300 800.100 800.700 806.500 842.600
00292 | ELV | -3.000 0.000 1.000 2.000 3.000 4.000 5.000 6.000 7.000 8.000
00292 | UOB | -9.800 -8.700 -7.600 -6.700 -5.900 -5.800 -5.700 -5.600 -5.500 -5.100
00292 | VOB | -8.300 -8.200 -7.500 -6.900 -6.700 -6.600 -6.100 -6.000 -5.900 -5.700
00292 | WSPD | 0.000 0.194 0.389 0.550 0.583 0.615 0.701 0.778 0.801 0.972
00292 | WDIR | 0.000 0.699 3.094 5.711 7.125 8.366 8.973 9.462 9.728 10.176

00293 | POB | 636.500 747.600 786.700 808.600 863.700 868.600 870.800 873.000 881.300 882.600
00293 | ELV | 0.000 1.000 4.000 5.000 6.000 7.000 9.000 10.000 15.000 16.000
00293 | UOB | -10.300 -5.900 -5.600 -4.500 -3.800 -3.700 -3.600 -3.500 -3.400 -3.100
00293 | VOB | -13.800 -8.300 -6.700 -6.600 -5.400 -4.900 -4.400 -4.000 -3.800 -3.600
00293 | WSPD | 0.000 0.991 1.047 1.844 1.944 1.982 2.001 2.890 2.916 2.967
00293 | WDIR | 0.000 9.728 10.305 10.784 19.440 19.872 29.899 36.870 39.401 40.365

00294 | POB | 990.600 990.700 990.800 991.100 991.500 991.700 992.200 992.400 1003.100 1003.200
00294 | ELV | 0.000 1.000 2.000 3.000 5.000 7.000 8.000 9.000 10.000 11.000
00294 | UOB | -12.600 -11.500 -11.000 -10.900 -10.500 -8.300 -7.800 -7.700 -7.600 -7.200
00294 | VOB | -13.400 -11.500 -8.900 -8.400 -8.200 -7.400 -7.300 -6.900 -6.500 -6.300
00294 | WSPD | 0.000 0.389 0.778 0.972 1.133 1.182 1.245 1.415 1.480 1.649
00294 | WDIR | 0.000 0.855 3.691 8.130 9.462 29.055 31.724 33.690 34.380 34.919

00295 | POB | 475.300 475.700 477.100 537.800 538.000 538.100 538.900 549.100 549.300 549.500
00295 | ELV | -59.000 -57.000 -53.000 -29.000 -23.000 -15.000 -11.000 -5.000 -4.000 -2.000
00295 | UOB | -84.400 -62.400 -46.100 -44.200 -37.800 -33.700 -28.400 -20.700 -20.500 -17.500
00295 | VOB | -97.100 -95.300 -84.400 -51.700 -23.300 -22.000 -21.900 -21.000 -20.300 -19.600
00295 | WSPD | 0.000 0.194 0.275 0.389 0.435 0.550 0.583 0.615 0.701 0.778
00295 | WDIR | 0.000 0.674 0.699 0.716 0.764 0.807 0.830 0.849 0.855 0.868

